Year;Reported;Convicted
1995;538963;108727
1996;528488;107497
1997;531102;104477
1998;499167;100788
1999;494191;96133
2000;504231;95430
2001;473290;87724
2002;491511;86762
2003;486174;87772
2004;474419;88721
2005;432704;80375
2006;425093;75202
2007;445271;73078
2008;476953;70219
2009;491792;71810
2010;471088;78106
2011;466765;84364
2012;440772;79508
2013;429293;79214
2014;406163;83394
2015;388543;83056
2016;401407;91645
2017;393437;88394
2018;363542;87530
2019;354859;89252
2020;325483;100063
2021;289497;81356
2022;338192;100586
2023;348211;101584
2024;339464;85959
2025;327755;84741
