name;year_of_birth;year_of_death;reign_start;reign_end;confirmed_year_of_birth;confirmed_year_of_death;confirmed_reign_start;confirmed_reign_end;lineage
gorm_den_gamle;NA;958;NA;958;no;no;no;no;jellinge_kongerne
harald_1_blåtand;NA;987;958;987;no;no;yes;no;jellinge_kongerne
svend_1_tveskæg;NA;1014;987;1014;no;yes;no;yes;jellinge_kongerne
harald_2_svensen;NA;1018;1014;1018;no;yes;yes;yes;jellinge_kongerne
knud_2_den_store;995;1035;1018;1035;no;yes;yes;yes;jellinge_kongerne
knud_3_hardeknud;1020;1042;1035;1042;yes;yes;yes;yes;jellinge_kongerne
magnus_1_den_gode;1024;1047;1042;1047;yes;yes;yes;yes;jellinge_kongerne
svend_2_estridsen;NA;1076;1047;1074;no;yes;yes;yes;jellinge_kongerne
harald_3_hén;NA;1080;1074;1080;no;yes;yes;yes;jellinge_kongerne
knud_4_den_hellige;NA;1086;1080;1086;no;yes;yes;yes;jellinge_kongerne
oluf_1_hunger;NA;1095;1086;1095;no;yes;yes;yes;jellinge_kongerne
erik_1_ejegod;1056;1103;1095;1103;no;yes;yes;yes;jellinge_kongerne
niels;NA;1134;1104;1134;no;yes;yes;yes;jellinge_kongerne
erik_2_emune;NA;1137;1134;1137;no;yes;yes;yes;jellinge_kongerne
erik_3_lam;NA;1146;1137;1146;no;yes;yes;yes;jellinge_kongerne
svend_3_grathe;NA;1157;1146;1157;no;yes;yes;yes;jellinge_kongerne
knud_5_magnussen;NA;1157;1157;1157;no;yes;yes;yes;jellinge_kongerne
valdemar_1_den_store;1131;1182;1157;1182;yes;yes;yes;yes;jellinge_kongerne
knud_6;1163;1202;1182;1202;yes;yes;yes;yes;jellinge_kongerne
valdemar_2_sejr;1170;1241;1202;1241;yes;yes;yes;yes;jellinge_kongerne
erik_4_plovpenning;1216;1250;1241;1250;yes;yes;yes;yes;jellinge_kongerne
abel;1218;1252;1250;1252;no;yes;yes;yes;jellinge_kongerne
christoffer_1;1219;1259;1252;1259;no;yes;yes;yes;jellinge_kongerne
erik_5_klipping;1249;1286;1259;1286;yes;yes;yes;yes;jellinge_kongerne
erik_6_menved;1274;1319;1286;1319;yes;yes;yes;yes;jellinge_kongerne
christoffer_2_first_reign;1276;1332;1320;1326;yes;yes;yes;yes;jellinge_kongerne
valdemar_3_eriksen;1314;1330;1326;1330;yes;yes;yes;yes;jellinge_kongerne
christoffer_2_second_reign;1276;1332;1330;1332;yes;yes;yes;yes;jellinge_kongerne
valdemar_4_atterdag;1320;1375;1340;1375;no;yes;yes;yes;jellinge_kongerne
oluf_2;1370;1387;1376;1387;yes;yes;yes;yes;jellinge_kongerne
margrete_1;1353;1412;1387;1412;yes;yes;yes;yes;jellinge_kongerne
erik_7_af_pommern;1382;1459;1412;1439;no;yes;yes;yes;jellinge_kongerne
christoffer_3_af_bayern;1416;1448;1440;1448;yes;yes;yes;yes;jellinge_kongerne
christian_1;1426;1481;1448;1481;yes;yes;yes;yes;oldenborg_lineage
hans;1455;1513;1481;1513;yes;yes;yes;yes;oldenborg_lineage
christian_2;1481;1559;1513;1523;yes;yes;yes;yes;oldenborg_lineage
frederik_1;1471;1533;1523;1533;yes;yes;yes;yes;oldenborg_lineage
christian_3;1503;1559;1534;1559;yes;yes;yes;yes;oldenborg_lineage
frederik_2;1534;1588;1559;1588;yes;yes;yes;yes;oldenborg_lineage
christian_4;1577;1648;1588;1648;yes;yes;yes;yes;oldenborg_lineage
frederik_3;1609;1670;1648;1670;yes;yes;yes;yes;oldenborg_lineage
christian_5;1646;1699;1670;1699;yes;yes;yes;yes;oldenborg_lineage
frederik_4;1671;1730;1699;1730;yes;yes;yes;yes;oldenborg_lineage
christian_6;1699;1746;1730;1746;yes;yes;yes;yes;oldenborg_lineage
frederik_5;1723;1766;1746;1766;yes;yes;yes;yes;oldenborg_lineage
christian_7;1749;1808;1766;1808;yes;yes;yes;yes;oldenborg_lineage
frederik_6;1768;1839;1808;1839;yes;yes;yes;yes;oldenborg_lineage
christian_8;1786;1848;1839;1848;yes;yes;yes;yes;oldenborg_lineage
frederik_7;1808;1863;1848;1863;yes;yes;yes;yes;oldenborg_lineage
christian_9;1818;1906;1863;1906;yes;yes;yes;yes;glücksborg_lineage
frederik_8;1843;1912;1906;1912;yes;yes;yes;yes;glücksborg_lineage
christian_10;1870;1947;1912;1947;yes;yes;yes;yes;glücksborg_lineage
frederik_9;1899;1972;1947;1972;yes;yes;yes;yes;glücksborg_lineage
nargrethe_2;1940;NA;1972;2024;yes;no;yes;yes;glücksborg_lineage
frederik_10;1968;NA;2024;NA;yes;no;yes;no;glücksborg_lineage
